Chegada,Mercadoria,Quantidade,Origem,Sentido,Porto
01/10/2024,MAP,1,ATRACADOS,Importação,Porto Paranaguá
04/10/2024,SULFATO DE AMONIO,1,ATRACADOS,Importação,Porto Paranaguá
09/10/2024,CLORETOS DE POTASSIO,1,ATRACADOS,Importação,Porto Paranaguá
10/10/2024,CLORETO DE POTASSIO,1,ATRACADOS,Importação,Porto Paranaguá
19/10/2024,UREIA,1,ATRACADOS,Importação,Porto Paranaguá
20/10/2024,OLEO DIESEL,1,ATRACADOS,Importação,Porto Paranaguá
26/10/2024,METANOL,1,ATRACADOS,Importação,Porto Paranaguá
26/10/2024,OLEO DIESEL,3,ATRACADOS,Importação,Porto Paranaguá
27/10/2024,CONTÊINERES (CONTENTORES) INCL,2,ATRACADOS,Importação,Porto Paranaguá
28/09/2024,SULFATO DE AMONIO,1,ATRACADOS,Importação,Porto Paranaguá
28/10/2024,CONTÊINERES (CONTENTORES) INCL,1,ATRACADOS,Importação,Porto Paranaguá
12/10/2024,OUTS.ACUCARES,1,ATRACADOS,Exportação,Porto Paranaguá
16/10/2024,AÇÚCAR,1,ATRACADOS,Exportação,Porto Paranaguá
16/10/2024,AÇÚCAR (BRUTO),1,ATRACADOS,Exportação,Porto Paranaguá
19/10/2024,FARELO DE SOJA,1,ATRACADOS,Exportação,Porto Paranaguá
24/10/2024,FARELO DE SOJA,1,ATRACADOS,Exportação,Porto Paranaguá
27/10/2024,CONTÊINERES (CONTENTORES) INCL,2,ATRACADOS,Exportação,Porto Paranaguá
27/10/2024,PASTA QUIM.MADEIRA DE N/CONIF.,1,ATRACADOS,Exportação,Porto Paranaguá
28/10/2024,CONTÊINERES (CONTENTORES) INCL,1,ATRACADOS,Exportação,Porto Paranaguá
09/10/2024,UREIA,2,PROGRAMADOS,Importação,Porto Paranaguá
10/10/2024,DAP - Fosfato Diamonico,1,PROGRAMADOS,Importação,Porto Paranaguá
10/10/2024,FERTILIZ.MINER.QUIM.C/NITROGEN,1,PROGRAMADOS,Importação,Porto Paranaguá
14/10/2024,UREIA,1,PROGRAMADOS,Importação,Porto Paranaguá
29/10/2024,FOSFATOS DE CALCIO,1,PROGRAMADOS,Importação,Porto Paranaguá
15/10/2024,FARELO DE SOJA,1,PROGRAMADOS,Exportação,Porto Paranaguá
27/10/2024,AÇÚCAR,1,PROGRAMADOS,Exportação,Porto Paranaguá
27/10/2024,SOJA,1,PROGRAMADOS,Exportação,Porto Paranaguá
13/09/2024,CLORETOS DE POTASSIO,2,AO LARGO PARA REATRACAÇÃO,Importação,Porto Paranaguá
22/10/2024,OLEOS BRUTOS DE PETROLEO,3,AO LARGO PARA REATRACAÇÃO,Importação,Porto Paranaguá
30/07/2024,OUTS.ACUCARES,1,AO LARGO PARA REATRACAÇÃO,Exportação,Porto Paranaguá
04/10/2024,CLORETOS DE POTASSIO,2,AO LARGO,Importação,Porto Paranaguá
10/10/2024,SULFATO DE AMONIO,1,AO LARGO,Importação,Porto Paranaguá
12/10/2024,CLORETOS DE POTASSIO,1,AO LARGO,Importação,Porto Paranaguá
14/10/2024,UREIA,2,AO LARGO,Importação,Porto Paranaguá
15/10/2024,FERTILIZ.MINER.QUIM.C/NITROGEN,1,AO LARGO,Importação,Porto Paranaguá
15/10/2024,SULFATO DE AMONIO,2,AO LARGO,Importação,Porto Paranaguá
17/10/2024,CLORETOS DE POTASSIO,1,AO LARGO,Importação,Porto Paranaguá
19/10/2024,UREIA,1,AO LARGO,Importação,Porto Paranaguá
21/10/2024,MAP,1,AO LARGO,Importação,Porto Paranaguá
21/10/2024,NITRATO DE AMONIO,1,AO LARGO,Importação,Porto Paranaguá
21/10/2024,"SUPERFOSFATO, MINERAIS OU QUIM",1,AO LARGO,Importação,Porto Paranaguá
21/10/2024,UREIA,1,AO LARGO,Importação,Porto Paranaguá
23/10/2024,MALTE,1,AO LARGO,Importação,Porto Paranaguá
24/10/2024,OUT.TRIGOS E MISTURAS DE TRIGO,1,AO LARGO,Importação,Porto Paranaguá
24/10/2024,"SUPERFOSFATO, MINERAIS OU QUIM",1,AO LARGO,Importação,Porto Paranaguá
25/10/2024,CLORETOS DE POTASSIO,1,AO LARGO,Importação,Porto Paranaguá
25/10/2024,UREIA,2,AO LARGO,Importação,Porto Paranaguá
27/10/2024,UREIA,2,AO LARGO,Importação,Porto Paranaguá
28/10/2024,CONTÊINERES (CONTENTORES) INCL,2,AO LARGO,Importação,Porto Paranaguá
29/10/2024,CONTÊINERES (CONTENTORES) INCL,1,AO LARGO,Importação,Porto Paranaguá
04/10/2024,FARELO DE SOJA,1,AO LARGO,Exportação,Porto Paranaguá
11/10/2024,AÇÚCAR,1,AO LARGO,Exportação,Porto Paranaguá
17/10/2024,OUTS.ACUCARES,1,AO LARGO,Exportação,Porto Paranaguá
17/10/2024,SOJA,1,AO LARGO,Exportação,Porto Paranaguá
23/10/2024,MILHO,1,AO LARGO,Exportação,Porto Paranaguá
26/10/2024,AÇÚCAR,2,AO LARGO,Exportação,Porto Paranaguá
28/10/2024,CONTÊINERES (CONTENTORES) INCL,2,AO LARGO,Exportação,Porto Paranaguá
29/10/2024,AÇÚCAR,1,AO LARGO,Exportação,Porto Paranaguá
29/10/2024,CONTÊINERES (CONTENTORES) INCL,1,AO LARGO,Exportação,Porto Paranaguá
01/11/2024,CLORETOS DE POTASSIO,1,ESPERADOS,Importação,Porto Paranaguá
01/11/2024,CONTÊINERES (CONTENTORES) INCL,6,ESPERADOS,Importação,Porto Paranaguá
01/11/2024,OUTROS OLEOS DE DENDE,1,ESPERADOS,Importação,Porto Paranaguá
01/11/2024,OUTROS OLEOS DE PALMISTE,1,ESPERADOS,Importação,Porto Paranaguá
01/11/2024,UREIA,1,ESPERADOS,Importação,Porto Paranaguá
01/12/2024,SULFATO DE AMONIO,1,ESPERADOS,Importação,Porto Paranaguá
02/11/2024,AUTOMÓVEIS DE PASSAGEIROS E OU,2,ESPERADOS,Importação,Porto Paranaguá
02/11/2024,CONTÊINERES (CONTENTORES) INCL,2,ESPERADOS,Importação,Porto Paranaguá
