Chegada,Mercadoria,Quantidade,Origem,Sentido,Porto
01/11/2024 13:00:00,GRAN.LIQUIDO NAO ESPECIF,1,LIQUIDO A GRANEL,Importação,Porto de Santos
03/11/2024 23:59:00,GRAN.LIQUIDO NAO ESPECIF,1,LIQUIDO A GRANEL,Importação,Porto de Santos
06/11/2024 07:00:00,GRAN.LIQUIDO NAO ESPECIF,1,LIQUIDO A GRANEL,Importação,Porto de Santos
07/11/2024 07:00:00,GRAN.LIQUIDO NAO ESPECIF,1,LIQUIDO A GRANEL,Importação,Porto de Santos
15/11/2024 09:57:00,GAS LIQUEFEITO,1,LIQUIDO A GRANEL,Importação,Porto de Santos
21/10/2024 14:48:00,OLEO DIESEL,1,LIQUIDO A GRANEL,Importação,Porto de Santos
21/10/2024 16:12:00,GRAN.LIQUIDO NAO ESPECIF GRAN.LIQUIDO NAO ESPECIF,1,LIQUIDO A GRANEL,Importação,Porto de Santos
28/10/2024 21:48:00,SODA CAUSTICA,1,LIQUIDO A GRANEL,Importação,Porto de Santos
29/10/2024,OLEO LUBRIFICANTE OLEO LUBRIFICANTE,1,LIQUIDO A GRANEL,Importação,Porto de Santos
29/10/2024 16:23:00,GAS LIQUEFEITO,1,LIQUIDO A GRANEL,Importação,Porto de Santos
29/10/2024 16:36:00,OLEO DIESEL,1,LIQUIDO A GRANEL,Importação,Porto de Santos
30/10/2024 07:00:00,GRAN.LIQUIDO NAO ESPECIF,1,LIQUIDO A GRANEL,Importação,Porto de Santos
31/10/2024 11:00:00,GRAN.LIQUIDO NAO ESPECIF,1,LIQUIDO A GRANEL,Importação,Porto de Santos
03/11/2024 09:31:00,SUCOS CITRICOS A GRANEL,1,LIQUIDO A GRANEL,Exportação,Porto de Santos
10/11/2024 05:19:00,SUCOS CITRICOS A GRANEL,1,LIQUIDO A GRANEL,Exportação,Porto de Santos
20/11/2024 05:25:00,SUCOS CITRICOS A GRANEL,1,LIQUIDO A GRANEL,Exportação,Porto de Santos
21/10/2024 16:12:00,GRAN.LIQUIDO NAO ESPECIF GRAN.LIQUIDO NAO ESPECIF,1,LIQUIDO A GRANEL,Exportação,Porto de Santos
23/11/2024 05:31:00,SUCOS CITRICOS A GRANEL,1,LIQUIDO A GRANEL,Exportação,Porto de Santos
25/10/2024 18:10:00,GRAN.LIQUIDO NAO ESPECIF,1,LIQUIDO A GRANEL,Exportação,Porto de Santos
27/10/2024 15:00:00,OLEO DIESEL,1,LIQUIDO A GRANEL,Exportação,Porto de Santos
27/11/2024 05:39:00,SUCOS CITRICOS A GRANEL,1,LIQUIDO A GRANEL,Exportação,Porto de Santos
29/10/2024,GASOLINA COMUM,1,LIQUIDO A GRANEL,Exportação,Porto de Santos
29/10/2024,GRAN.LIQUIDO NAO ESPECIF,1,LIQUIDO A GRANEL,Exportação,Porto de Santos
29/10/2024,OLEO COMBUSTIVEL,3,LIQUIDO A GRANEL,Exportação,Porto de Santos
29/10/2024,OLEO DIESEL,3,LIQUIDO A GRANEL,Exportação,Porto de Santos
29/10/2024,OLEO LUBRIFICANTE OLEO LUBRIFICANTE,1,LIQUIDO A GRANEL,Exportação,Porto de Santos
30/10/2024 05:00:00,ETHANOL,1,LIQUIDO A GRANEL,Exportação,Porto de Santos
30/10/2024 10:04:00,OLEO DIESEL,1,LIQUIDO A GRANEL,Exportação,Porto de Santos
30/10/2024 15:00:00,OLEO COMBUSTIVEL,1,LIQUIDO A GRANEL,Exportação,Porto de Santos
31/10/2024 05:00:00,ETHANOL,1,LIQUIDO A GRANEL,Exportação,Porto de Santos
29/10/2024,TRIGO A GRANEL,1,TRIGO,Importação,Porto de Santos
01/11/2024 01:00:00,PELLETS A GRANEL,1,GRANEIS DE ORIGEM VEGETAL,Exportação,Porto de Santos
01/11/2024 03:00:00,MILHO A GRANEL,1,GRANEIS DE ORIGEM VEGETAL,Exportação,Porto de Santos
01/11/2024 18:00:00,MILHO A GRANEL,1,GRANEIS DE ORIGEM VEGETAL,Exportação,Porto de Santos
